content;tags;title;kategori
baru dua tahun diberlakukan aturan mengenai kepemilikan tunggal single presence policy atas suatu bank bakal dikaji ulang mengikuti peraturan otoritas jasa keuangan nomor 39pojk032017 setiap pihak hanya dapat menjadi pemegang saham pengendali pada satu bankketentuan kepemilikan tunggal atas satu bank menghendaki investor melakukan merger pada bank yang akan diakuisisi keharusan merger inilah yang tampaknya hendak mereka hindari selain itu bankbank kecil yang mengalami kesulitan mencari investor baru malas melakukan merger satu sama lainsecara teoretis keengganan untuk melakukan merger sangat masuk akal merger mensyaratkan keberimbangan di antara bankbank yang akan dilebur ketidaksetimbangan bank memunculkan masalah manajerial yang berimbas tidak ringan pada target pasar alihalih bersinergi merger bisa mendistorsi brand image yang telah dibangun maka penguatan struktur modal dan aset bank menjadi sasaran yang dibidik dari regulasi kepemilikan tunggal dan disiasati perbankan dengan mencari tambahan modal untuk naik leveltren ini tampaknya belum akan banyak berubah arsitek perbankan indonesia dan peraturan bank indonesia mensyaratkan kecukupan modal regulasi terbaru basel iii dan peraturan standard akuntansi keuangan psak 71 bahkan mewajibkan perbankan menambah cadangan modal untuk mengantisipasi penurunan nilaidengan merevisi aturan tersebut nantinya perbankan diperbolehkan memiliki lebih dari satu bank tanpa harus merger dengan begitu bankbank besar akan tertarik mengakuisisi bankbank kecil guna memperluas cakupan bisnis dalam lingkup grup alias holdingdengan pelonggaran ini pula manfaat ekonomi dan sinergi bagi bank kecil akan lebih tinggi konsolidasi bank kecil seperti menjadikannya unit khusus digital usaha menengah kecil dan mikro atau segmen retail di bawah kontrol bank besar menjadi jauh lebih baik lantaran bank induk dapat menyuntikkan modal bila anak usahanya membutuhkannamun pelonggaran kepemilikan tunggal berpotensi memunculkan persoalan baru yang paling dekat adalah era masyarakat ekonomi asean di sektor keuangan yang akan dibebaskan mulai 2020 konsekuensinya akan banyak bank asing masuk dengan membeli bank lokal yang sudah adabanyaknya bank asing ini niscaya akan menciptakan persaingan yang sehat dan meningkatkan efisiensi akibatnya bank kecil domestik dengan tingkat efisiensi yang rendah akan dengan sendirinya tereliminasikekhawatiran ini perlu diantisipasi efisiensi rasio biaya operasional dan pendapatan operasional lebih tinggi pada bank umum kegiatan usaha buku i yakni bank dengan modal inti sampai rp 1 triliun dan buku ii bank dengan modal inti rp 15 triliun sementara itu ukuran efisiensi yang diukur dengan indikator net interest margin nim menunjukkan bank buku iv bank dengan modal inti sedikitnya rp 30 triliun memiliki nim paling besar artinya efisiensi perbankan nasional belum meyakinkanrelaksasi kepemilikan tunggal juga membuka peluang penyaluran kredit kepada perusahaan dalam satu kepemilikan kondisi perbankan nasional menjelang krisis 19971998 menjadi pelajaran berharga mengenai hal ini intinya risiko sistemik menjadi lebih besar dengan adanya pelonggaran kepemilikan tunggal bankdalam skala industri relaksasi kepemilikan tunggal agaknya sedikit memupus harapan untuk merasionalisasi jumlah bank di tanah air jumlah bank hingga mei 2019 mencapai 113 unit belum termasuk bank perkreditan rakyat yang mencapai ribuan angka ini diklaim masih terlalu besar untuk mencapai skala efisiensiselain itu kekakuan sikap bankir punya andil dalam menentukan perubahan lingkungan strategis nantinya bank kategori buku iii dan iv adalah pemimpin pasar dalam industri perbankan yang masih berstruktur oligopolis dari total 113 bank umum yang beroperasi 67 unit 60 persen di antaranya adalah bank kecil di buku i dan ii artinya mayoritas bank kecil dan menengah pasif menunggu langkah yang akan dilakukan oleh bankbank besarjika demikian proses konsolidasi bank secara individual memerlukan waktu yang lebih lama sejalan dengan itu penyesuaian kolektif secara industri juga memakan tempo yang tidak singkat imbasnya banyak energi sektor perbankan terbuang mubazir hanya untuk merespons sebuah kebijakan yang kemudian dianulirdari ranah kebijakan relaksasi kepemilikan tunggal niscaya mengusik kredibilitas ojk dalam kondisi ekonomi ke depan yang penuh dengan ketidakpastian efek konfidensi bukan tidak mungkin lebih signifikan berperan dan bagaimana agen ekonomi merespons keadaan akan sangat bergantung pada kredibilitas kebijakannyapada titik ini pelaku pasar bisa jadi memperoleh kesan kebijakan ojk hanya cobacoba sebagai reaksi sesaat terhadap fenomena yang sedang terjadi risiko terberatnya segala langkah yang diambil ojk nantinya ditangkap pelaku pasar hanya bersifat sementara dan bernasib sama dengan kebijakan kepemilikan tunggalwalhasil inefisiensi lembaga keuangan di tanah air dalam tataran mikro tidak hanya disumbang oleh perilaku perbankan itu sendiri tapi secara kelembagaan makro juga disokong oleh regulasi yang tidak efisien inkonsistensi regulasi kepemilikan tunggal menjadi ujud nyata dari inefisiensi kebijakan;akuisisi bank,perbankan;masalah pelonggaran kepemilikan bank;ekonomi
tempoco jakarta  kepala badan kepegawaian daerah bkd dki jakarta chaidir menerangkan perihal kebijakan baru di ibukota yang mengatur penghasilan tambahan calon pegawai negeri sipil hingga gubernur dki anies baswedan kebijakan itu tertuang dalam keputusan gubernur dki nomor 879 tahun 2019meski begitu dia membantah aturan baru sematamata mengatur penghasilan tambahan gubernur anies menurut chaidir kepgub mengatur pendapatan rutin pegawai badan pajak dan retribusi daerah bprd dki ketika mencapai target kerja jadi sebagai jasa atas prestasinya kebetulan kemarin berbarengan dengan tunjangan hari raya idul fitri katanya saat dihubungi  selasa malam 18 juni 2019 chaidir menuturkan aturan penghasilan tambahan bagi pegawai bprd dki ketika mencapai target kerja sudah lama ada dan terus diperbaiki tiap tahun oleh gubernurgubernur sebelumnya aturan serupa sebelumnya antara lain kepgub nomor 57 tahun 2017 yang diteken gubenur djarot saiful hidayat dan kepgub nomor 60 tahun 2018 oleh anies baswedanpergub dki nomor 879 tahun 2019 yang berlaku sejak 24 mei 2019 tersebut berisi pemberian tunjangan hari raya dan tambahan penghasilan kepada gubernur dan wakil gubernur serta pegawai negeri sipil dan calon pegawai negeri sipil di lingkungan badan pajak dan retribusi daerah tahun anggaran 2019 chaidir memaparkan gubernur memang bisa memperoleh penghasilan lain bila mencapai atau melampaui target pajak yang diatur dalam peraturan pemerintah gubernur juga memiliki hak prerogatif ketika mencapai target penerimaan daerah dia memang dapat haknya dia sebagai pejabat negara ucapnya;anies,anies baswedan,gubernur dki jakarta;dki jelaskan kepgub anies soal tambahan penghasilan;ekonomi
pt aneka tambang tbk atau  membuka pelayanan transaksi emas secara online berbasis website dan pemesanan melalui aplikasi whatsapp hal itu dilakukan melalui unit bisnis pengolahan dan pemurnian logam mulia berkomitmen mencegah penyebaran covid19selain untuk mencegah penyebaran pandemi covid19 transaksi online dijalankan perusahaan sebagai bentuk komitmen pelayanan kepada masyarakat kini pelanggan dapat membeli lewat website atau memesan melalui aplikasi  lalu mengambil emas tersebut di butik emas logam mulia terdekat kata direktur niaga antam aprilandi h setia dalam keterangan tertulis jumat 17 april 2020antam menjalankan kembali operasional butik emas logam mulia belm di beberapa wilayah secara terbatas untuk proses pengambilan emas yang dipesan dia mengatakan antam tetap menjalankan protokol kesehatan dan kesiagaan holding industri pertambangan mind id pada operasional butik emas logam mulia selama pandemi covid19 dengan prioritas kesehatan dan keselamatan pegawai dan pelangganpelanggan dapat melakukan pembelian emas secara online di wwwlogammuliacom dan melakukan preorder serta transaksi buyback melalui aplikasi whatsapp perusahaan menyediakan fasilitas yang aman dan mudah dengan sistem pembayaran transfer virtual accountpelanggan dapat memilih opsi pengambilan di butik emas logam mulia atau pengiriman oleh perusahaan jasa ekspedisi yang bekerjasama dengan perusahaan dengan ketentuan sebagai berikut a transaksi dengan nilai sampai dengan rp 100 juta dapat menggunakan ekspedisi yang telah bekerjasama dengan ubpp lm b transaksi dengan nilai diatas rp 20 juta dapat melakukan pengambilan ke butik emas logam mulia terdekat dengan persyaratan tidak dapat dikuasakan membawa ktp asli serta bukti transaksi online c pengambilan produk ke butik emas logam mulia terdekat maksimal 7 hari kalender setelah tanggal transaksiselain transaksi berbasis website perusahaan juga menyediakan fasilitas pemesanan logam mulia dan buyback menggunakan aplikasi whatsapp setiap butik emas logam mulia memiliki nomor unik whatsapp yang berbeda untuk memudahkan dan memberikan keamanan kepada pelanggan karena meminimalisir pertemuan dengan customer service dan menghindari durasi antri yang lebih lamalayanan transaksi online hanya menyediakan produk certicard dan gift series sesuai dengan ketersediaan stok sedangkan butik  logam mulia beroperasi secara terbatas selain untuk mengambil emas yang dipesan pelanggan juga dapat melakukan penjualan kembali emas logam mulialayanan buyback dapat dilakukan dengan melakukan registrasi terlebih dahulu melalui nomor whatsapp butik emas logam mulia dengan penyesuaian ketentuan buyback selama pandemi covid19hendartyo hanggi;antam,emas,whatsapp;cegah covid19 antam layani transaksi emas via whatsapp;ekonomi
anggaran pendapatan dan belanja daerah atau  kota bekasi tahun 2020 diproyeksikan sebesar rp 58 triliun nilai ini mengalami penurunan dibandingkan apbd sebelumnya yang disahkan pada akhir tahun lalu sebesar rp 64 triliunpenurunan disebabkan karena adanya evaluasi pendapatan asli daerah pad ketua dewan perwakilan rakyat daerah kota bekasi choiruman juwono putro mengatakan penyusunan apbd 2020 belum rampung karena masih menunggu proyeksi pendapatan dari pemerintah pusat melalui dana alokasi khusus dak dana insentif daerah did maupun bantuan keuangan dari provinsi jawa barat dan dki jakartakalau pendapatan daerah kami setting di angka rp 3 triliun kata choiruman di bekasi rabu 28 november 2019proyeksi pendapatan daerah yang ditetapkan pada 2020 sebesar itu lebih rendah dibandingkan proyeksi tahun ini sebesar rp 33 triliun menurut choiruman penurunan itu karena legislatif melihat realisasi penerimaan pendapatan hanya rp 244 triliun sampai dengan akhir tahun inikami seting kenaikan dari realisasi pendapatan tahun ini sebesar 20 persen atau sekitar rp 500 miliar lebih kata choirumanadapun nilai belanja dipastikan seimbang dengan pendapatan namun paling besar pemerintah mengalokasikan anggaran di sektor kesehatan sebesar rp 1073 triliun pos itu berada di dinas kesehatan sebesar rp 598 miliar lebih dan rumah sakit umum daerah rsud sebesar rp 471 miliar lebihpengesahan nanti menyesuaikan undangundang paling lambat 30 november kata choirumanwakil wali  tri adhianto mengatakan pendapatan tahun ini tak sesuai target atau masih kurang rp 1 triliun disebabkan berbagai faktor terutama pertumbuhan ekonomi yang stagnan di angka 5657 persen pajak reklame misalnya terkena dampak akibat proyek nasional kata dia;apbd,kota bekasi,dprd kota bekasi;rancangan apbd kota bekasi 2020 proyeksi pendapatan menurun;ekonomi
ketua umum asosiasi pengusaha indonesia atau apindo haryadi sukamdani mengatakan sebenarnya swasta sudah siap menjual  di indonesia namun dia mengatakan ada perusahaan badan usaha milik negara yang mengganjal rencana ituselama ini diganjel ada yang mengganjal dari pihak bumn saya gak usah sebut namanya akr bp waktu itu sudah siap dijanjiin melulu katanya abis pilpres abis itu mundur sampai sekarang belum kata haryadi di kantor kementerian koordinator bidang perekonomian jakarta jumat 6 desember 2019menurut dia jika swasta sudah masuk menjual avtur maka akan tercipta kompetisi yang sehat hal itu kata dia akan berpengaruh pada harga yang lebih murah atau kompetitifkalau kompetitif kan bagus juga buat industri penerbangan ujar diamenurut dia pembahasan di tingkat menteri soal swasta yang akan menjual avtur sudah tidak ada masalah ditambah dia lebih optimistis dengan erick thohir yang menjadi menteri bumnmemang diganjel kok mereka bukan di kementerian teknis tapi bumn ujar diamenurut dia pembahasan mengenai swasta akan menjual avtur itu akan berlanjut pada tahun depansebelumnya erick thohir mempersilahkan perusahaan swasta untuk memasok avtur di dalam negeri hal itu kata dia agar terwujud harga avtur yang lebih bersaingsaya rasa kan gini pertamina bisa memproduksi avtur  kalau swasta yang produksi avtur welcome saja yang tidak boleh cuma minta lisensi impor kata erick di pasific place jakarta rabu 4 desember 2019menurut erick perusahaan swasta itu harus memproduksi avtur di indonesia dan tidak boleh meminta lisensi impor karena jika impor diperbolehkan justru akan memperbesar defisit neraca perdagangan migasakhirnya nanti kamikami yang di bumn atau di kementerian banyak ditugaskan menekan impor migas tapi dipihak lainnya malah impor terus akhirnya kami yang di salahkan lagi kata erickadapun sampai saat ini pemasok avtur dari sabang hingga merauke hanya dilayani oleh pt pertamina persero selain menjual avtur bumn itu juga menyediakan sendiri infrastruktur penyediaan avtur di bandara di mata internasional pasar penerbangan indonesia masih prospektif seiring dengan tuntutan mobilitas jumlah penduduk yang terus tumbuh asosiasi pengangkutan udara internasional iata memperkirakan pada 2036 indonesia akan mengangkut 250 juta pemakai jasa penerbangan per tahun dan menduduki posisi kelima dari 10 besar dunia pasar penumpang angkutan udarakendari begitu dia mengingatkan saat ini pertamina pada dasarnya telah mampu memproduksi avtur lebih efisien terutama dengan penerapan bahan bakar dengan campuran biodiesel 30 persen atau b30tinggal benarbenar mau tidak melakukannya karena jangan hanya shortcut sekedar hanya mencari keuntungan tapi akhirnya kembali merugikan secara keseluruhan konsep yang sedang dibangun oleh bapak presiden karenakan kita mau tekan impor migas itu kata diahendartyo hanggi;avtur,apindo,bumn;apindo swasta belum jual avtur karena diganjal perusahaan bumn;ekonomi
direktorat jenderal perhubungan darat kementerian perhubungan ri bersama pt damri memperkenalkan moda transportasi umum sejenis shuttle bus untuk mengangkut penumpang dari kawasan sleman yogyakarta menuju bandara baru  yia atau  kamis 30 januari 2020peluncuran unit yang disebut dengan angkutan antarmoda itu untuk menunjang operasional bandara yia kulon progo yang rencananya efektif beroperasi penuh akhir maret 2020 mendatangmoda yang digunakan merupakan jenis minibus mercedes benz sprinter 315 cdi a3 varian sprinter yang mengusung mesin petrol 2143 cc serta mampu menghasilkan tenaga hingga 150 hp dan torsi puncak 330 nm itu memiliki interior cukup nyaman dan lux di dalamnya terpasang juga lcd tv untuk menghibur penumpang sepanjang perjalanandihiasi dengan lantai bermotif kayu serta 10 tempat duduk lengkap dengan sandaran kaki membuat penumpang akan cukup nyaman menikmati perjalanan dari sleman ke bandara kulon progo yang berjarak kurang lebih 40 menitselain menyiapkan moda untuk penumpang dari sleman menuju bandara yia disiapkan juga moda sejenis yang akan beroperasi untuk kawasan strategis pariwisata nasional kspn candi borobudur“total saat ini ada lima rute kami siapkan untuk moda transportasi menuju ke bandara yia masingmasing 3 rute ke kspn borobudur dan 2 rute lainnya ke kota yogyakarta” ujar dirjen perhubungan darat budi setyadi di sela peluncuran di komplek sleman city hall kamis 30 januari 2020budi mengatakan rute pertama moda itu mulai dari sleman city hall ke kompleks pemda sleman  terminal jombor lalu yia rute kedua adalah yia  tebing gunung gajah  goa kiskendo  plono  samigaluh  jalan nanggulan  mendut dan candi borobudur melalui bukit menoreh rute ketiga adalah yia  wates  nanggulan  dekso lalu candi borobudurrute keempat adalah candi borobudur  terminal muntilan  terminal jombor  grand inna malioboro rute terakhir adalah yia  ambarketawang  wirobrajan  universitas gadjah mada dan berakhir jalan affandi dan hartono mall “kelima rute tersebut tiketnya disubsidi oleh pemerintah yang bertarif rp21000 hingga rp25000” katanya tarif itu merupakan hasil akhir setelah adanya subsidi dari pemerintah sebesar rp 9 miliar untuk jangka waktu selama 1 tahunbudi menyebut sebelum meluncurkan antarmoda ini pihaknya telah melakukan survei terlebih dahulu terkait dengan rute yang akan dilalui oleh shuttle bus “jika nanti respon masyarakat bagus akan kami tambah armada lebih besar dengan kapasitas lebih banyak penumpang ujarnya;bandara kulon progo,bandara yogyakarta,mercedes-benz;mercy sprinter mewah angkutan bandara kulon progo ini tarifnya;ekonomi
hasil rapat dewan gubernur bank indonesia bi pada 2223 januari 2020 memutuskan untuk kembali mempertahankan suku bunga acuan 7day reverse repo rate pada level 5 persen posisi itu sudah berjalan empat bulan sejak pemangkasan terakhir pada oktober tahun laluaspek teknis tampaknya lebih dominan dalam mewarnai keputusan bi dari indikator internal inflasi berada dalam kendali di rentang sasaran 35 persen plusminus 1 persen inflasi tahunan 2019 misalnya tercatat hanya 272 persen pertama kali di bawah 3 persen sejak 2012dari indikator eksternal nilai tukar rupiah dalam tren penguatan sampai akhir tahun lalu nilai tukar rupiah terapresiasi 268 persen secara tahunan ditopang oleh aliran dolar yang masuk kinerja nilai tukar rupiah menjadi mata uang terbaik kedua di asia setelah baht thailandfaktor pendukung lainnya suku bunga acuan amerika serikat eropa dan negara emerging market lainnya berada dalam posisi status quo cadangan internasional juga cukup tebal untuk menopang stabilitas eksternal maka tidak ada kegentingan yang memaksa bi untuk segera memangkas suku bunga acuannamun andai kata bi menghitung aspek nonteknis ceritanya bisa berbeda perubahan posisi suku bunga acuan di awal tahun senantiasa menjadi perhatian bagi pelaku pasar posisi suku bunga acuan dipandang sebagai sikap bi terhadap kebijakan moneter sepanjang tahunapalagi bi sudah mengirim sinyal akan menerapkan bauran kebijakan moneter makroprudensial dan sistem pembayaran yang akomodatif sepanjang 2020 dengan spirit growth over stability bi hendak mengejar fungsi akselerasi pertumbuhan ekonomi tanpa mengesampingkan fungsi stabilisasifungsi akselerasi tersimak dari target pertumbuhan kredit perbankan nasional yang berada pada kisaran 1012 persen dan penghimpunan dana pihak ketiga sebesar 68 persen dalam pandangan bi target di atas cukup untuk menyokong pertumbuhan ekonomi 5155 persenbulan januari seharusnya bisa menjadi momentum untuk mulai merealisasi kebijakan akomodatif tersebut setelah pada 2018 bi agresif melejitkan suku bunga acuan hingga 175 basis point tahun lalu bi memasang strategi berkebalikan akumulasi pemotongan suku bunga acuan sepanjang 2019 mencapai 100 basis pointartinya bi seolaholah masih punya utang pemotongan suku bunga acuan sebesar 75 basis point untuk mengembalikannya ke posisi awal fungsi akselerasi pertumbuhan ekonomi diyakini bisa terlaksana apabila bi memangkas suku bunga acuannya atau melonggarkan lagi kebijakan makroprudensial guna menciptakan efek januarihilangnya momentum efek januari membuat kebijakan bi bisa kehilangan greget tatkala tandatanda ke arah terwujudnya optimisme kian redup konsekuensinya bi harus menebusnya dengan cara lain untuk membangun confidenceapakah bi mampu menyelaraskan antara optimisme dan fakta guna mensinkronkan keduanya bi harus berfokus pada pengawalan agar racikan kebijakan moneter dan makroprudensial tetap berada di jalur yang benar efektivitasnya menjadi persoalan tersendiri tatkala dihadapkan pada respons pasar yang berbedadari sisi global risiko dari perlambatan ekonomi global dan gejolak geopolitik di sejumlah kawasan masih akan mewarnai 2020 dari sisi moneter bi dihadapkan pada potensi inflasi terkait dengan kenaikan harga yang diatur pemerintah kenaikan iuran jaminan kesehatan nasional cukai tembakau dan tarif beberapa ruas jalan tol berpotensi mendongkrak inflasi keluar dari targetdari sisi domestik jeda waktu efek pemangkasan suku bunga acuan 100 basis point sepanjang tahun lalu akan bekerja pada tahun ini suku bunga kredit perbankan misalnya hanya menyusut 30 basis point jauh di bawah pemotongan suku bunga acuan walhasil aliran kredit sangat boleh jadi masih seretpemangkasan suku bunga acuan niscaya akan diikuti pemangkasan suku bunga simpanan perubahan suku bunga simpanan jauh lebih responsif daripada suku bunga kredit perbankan kondisi ini dengan sendirinya akan menyurutkan minat nasabah untuk menyimpan dananya di perbankanpenurunan dana pihak ketiga kemungkinan besar tidak bisa dikompensasi oleh pemangkasan giro wajib minimum ketatnya likuiditas ini akan berefek pada kemampuan likuiditas perbankan tapi apakah relaksasi uang muka kredit terimbangi kemampuan perbankan dalam penyalurannya selain itu korporasi indonesia lebih banyak menggunakan sumber pembiayaan luar off shore alihalih pasar keuangan dalam negeri yang menuntut imbal hasil yang lebih tinggiperingatan ini bukan mengadaada perspektif teoretis dan praktik terbaik secara internasional menunjukkan kebijakan makroprudensial akan manjur tatkala kebijakan moneter tidak berubah dan sebaliknya rubio dan yao 2017 intinya ada imbal korban antara likuiditas suku bunga dan pertumbuhandengan skema permasalahan di atas kebijakan akomodatif bi tampaknya hanya masalah pemilihan waktu bi sepertinya menunggu omnibus law undangundang cipta lapangan kerja yang akan terbit tahun ini kebijakan fiskal yang kontrasiklikal ini tatkala bersinergi dengan kebijakan moneter makroprudensial dan sistem pembayaran akan mujarab melawan pelemahan conjuncture ekonomi domestik;bank indonesia;hilangnya momentum efek januari;ekonomi
bi menegaskan tidak ada kelonggaran aturan gerbang pembayaran nasional gpn yang diberikan bank sentral bagi dua perusahaan pembayaran asing asal amerika serikat yaitu mastercard dan visa tidak ada kelonggaran tetap sama kata deputi gubernur bank indonesia sugeng usai menjadi pembicara kunci seminar bertajuk menuju indonesia unggul melalui ekonomi digital di jakarta senin 7 oktober 2019dalam peraturan bank indonesia nomor 198pbi2017 tentang gerbang pembayaran nasional national payment gateway untuk menjadi lembaga  perusahaan pembayaran harus melaksanakan pemrosesan transaksi pembayaran secara domestik dengan menggunakan infrastruktur yang dimiliki di indonesia selain itu kepemilikan saham perusahaan pembayaran paling sedikit 80 persen dimiliki oleh warga negara indonesia danatau badan hukum indonesiaopsi lainnya perusahaan pembayaran asing dapat menjalin kerja sama alias menjadi mitra dari penyelenggara jasa sistem pembayaran pjsp domestikasing bisa kerja sama dengan pjsp domestik sekarang kan sudah ada kerja sama asing misalnya mastercard dengan artajasa sudah terealisir lho itu mereka kerja sama kemudian pemrosesannya juga domestik ujar sugengsaat ini terdapat empat lembaga  asing yang beroperasi di indonesia yaitu visa mastercard unionpay dan japan credit bureau jcbsementara itu empat lembaga  domestik yang sudah resmi mendapatkan lisensi gpn antara lain pt artajasa pembayaran elektronis atm bersama rintis sejahtera atm prima pt daya network lestari atm alto dan pt jalin pembayaran nusantara jpnsebelumnya amerika serikat dikabarkan meminta kelonggaran aturan gpn untuk mastercard dan visa yang ditukar dengan insentif generalized system of preferences gsp atau keringanan tarif bea masuk yang akan diberikan oleh pemerintah askalau asing kan dalam aturan kita ya boleh juga masuk asal ada kerja sama dengan pjsp domestik ujar sugeng;bank indonesia,mastercard,visa;bank indonesia tak ada kelonggaran bagi mastercard dan visa;ekonomi
rapat dewan gubernur  pada 1314 april 2020 memutuskan untuk mempertahankan  acuan bi 7day reverse repo rate di 45 persen suku bunga fasilitas simpanan juga turun 25 bps menjadi 375 persen dan suku bunga fasilitas pinjaman turun 25 bps menjadi 525 persenkeputusan ini memperimbangkan perlunya untuk menajaga stabilitas eksternal termasuk menjaga nilai tukar rupiah di tengah ketidakpasian global yang masih tinggi kata gubernur bi perry warjiyo dalam siaran langsung pengumuman rdg bi di bank indonesia jakarta selasa 14 april 2020meski begitu kata dia bi melihat adanya peluang penurunan subung acuan ke depan bi juga menembih empat langkah kebijakan untuk meredam dampak virus coronadia mengatakan kbijakan kebijakan moneter tetap akomodatif dan konsisten dengan prakiraan inflasimenurut perry langkah itu juga sebagai tindak lanjut dari sejumlah stimulus yang sudah dikeluarkan pemerintah selain itu bank indoensia juga kembali memperkuat bauran kebijakan yang diarahkan untuk mendukung upaya meminimalkan risiko dampak virus corona atau covid19serta sebagai langkah preemptive untuk menjaga momentum pertumbuhan ekonomi domestik di tengah tertahannya prospek pemulihan ekonomi global sehubungan dengan terjadinya covid19 pada 19 februari 2020 bi sudah memangkas suku bunga acuan bi 7day reverse repo rate 25 basis poin menjadi 475 persen dan pada 19 maret bi menurunkan suku bunga acuan menjadi 45 persenperry mengatakan strategi operasi moneter terus ditujukan untuk menjaga kecukupan likuiditas dan mendukung transmisi bauran kebijakan yang akomodatif ia menyatakan kebijakan makroprudensial yang akomodatif ditempuh guna mendorong pembiayaan ekonomi sejalan dengan siklus finansial yang di bawah optimal dengan tetap memerhatikan prinsip kehatihatianperry menuturkan bi juga akan terus mencermati perkembangan ekonomi global dan domestik dalam memanfaatkan ruang bauran kebijakan yang akomodatif untuk menjaga tetap terkendalinya inflasi dan stabilitas eksternal serta memperkuat momentum pertumbuhan ekonomikoordinasi bank indonesia dengan pemerintah dan otoritas terkait kata dia terus diperkuat guna mempertahankan stabilitas ekonomi mendorong permintaan domestik serta mempercepat reformasi struktural termasuk dalam memitigasi dampak;bank indonesia,suku bunga,covid-19;bank indonesia pertahankan suku bunga acuan 45 persen;ekonomi
taspen bank mantap mencatatkan obligasi perdana sebesar rp1 triliun yang merupakan penawaran umum berkelanjutan pub tahap i tahun 2019 dengan empat perusahaan penjamin emisi yakni mandiri sekuritas bni sekuritas bca sekuritas dan danareksa sekuritas dalam penerbitan obligasi tahap satu ini bank mantap mencatatkan permintaan sebesar rp28 triliun atau 28 kali melebihi target yang diharapkan dari para investor kata direktur bank mantap nurkholis wahyudi di gedung bursa efek indonesia bei jakarta rabu 27 november 2019adapun jumlah emisi dalam dua seri obligasi pub tahap 1 yang ditawarkan adalah seri a dengan kupon 79 persen bertenor 3 tahun memiliki nilai emisi rp700 miliar sedangkan seri b dengan kupon 82 persen bertenor 5 tahun memiliki nilai emisi rp300 miliarpara investor pemegang obligasi tersebut akan mendapatkan pembayaran kupon pertamanya pada 20 februari 2020 untuk seri a dan 26 februari 2020 untuk seri b selanjutnya bank mantap secara rutin membayar kupon tiap triwulan sekalipada pub tahap i ini komposisi emisi yang dimiliki oleh investor institusi sebesar 99 persen dan investor ritel sebesar 1 persensaat yang sama direktur bank mantap paulus endra s menambahkan obligasi tersebut digunakan dalam rangka mendukung ekspansi bisnis perseroan khususnya untuk penyaluran kredit dengan target indikatif akhir tahun 2019 sebesar rp2046 triliun atau tumbuh 319 persen secara year on year yoyper akhir oktober 2019 penyaluran kredit sudah mencapai rp1947 triliunsecara segmentasi endra melanjutkan perseroan terus meningkatkan penyaluran kredit ke seluruh bisnis dengan pertumbuhan tertinggi pada segmen pensiunan yang mencapai 374 persen menjadi rp1814 triliun pada akhir oktober 2019;bank mandiri,bank mantap,obligasi;bank mandiri taspen terbitkan obligasi rp 1 t dengan 2 seri kupon;ekonomi
